timestamp,target,chosen,showing_time,rounded_d
2024-08-02 12:54:08.987,./static/0099/target.jpg,./static/0099/target.jpg,500,46.2
2024-08-02 12:54:18.634,./static/0092/target.jpg,./static/0092/test.jpg,500,3.6
2024-08-02 12:54:25.178,./static/0155/target.jpg,./static/0155/target.jpg,500,16.3
2024-08-02 12:54:30.429,./static/0096/target.jpg,./static/0096/target.jpg,500,21.7
2024-08-02 12:54:36.702,./static/0103/target.jpg,./static/0103/test.jpg,500,6.8
2024-08-02 12:54:43.864,./static/0000/target.jpg,./static/0000/target.jpg,500,0
2024-08-02 12:54:49.770,./static/0006/target.jpg,./static/0006/target.jpg,500,21.7
2024-08-02 12:54:58.871,./static/0011/target.jpg,./static/0011/target.jpg,500,1.6
2024-08-02 12:55:04.672,./static/0116/target.jpg,./static/0116/target.jpg,500,21.7
2024-08-02 12:55:09.759,./static/0069/target.jpg,./static/0069/target.jpg,500,46.2
2024-08-02 12:55:14.661,./static/0027/target.jpg,./static/0027/target.jpg,500,29.4
2024-08-02 12:55:20.538,./static/0091/target.jpg,./static/0091/target.jpg,500,1.6
2024-08-02 12:55:26.133,./static/0151/target.jpg,./static/0151/test.jpg,500,1.6
2024-08-02 12:55:31.079,./static/0106/target.jpg,./static/0106/target.jpg,500,21.7
2024-08-02 12:55:36.357,./static/0145/target.jpg,./static/0145/target.jpg,500,16.3
2024-08-02 12:55:41.568,./static/0091/target.jpg,./static/0091/test.jpg,500,1.6
2024-08-02 12:55:46.558,./static/0026/target.jpg,./static/0026/target.jpg,500,21.7
2024-08-02 12:55:52.775,./static/0006/target.jpg,./static/0006/target.jpg,500,21.7
2024-08-02 12:55:59.152,./static/0106/target.jpg,./static/0106/target.jpg,500,21.7
2024-08-02 12:56:04.542,./static/0055/target.jpg,./static/0055/target.jpg,500,16.3
2024-08-02 12:56:09.505,./static/0032/target.jpg,./static/0032/target.jpg,500,3.6
2024-08-02 12:56:14.608,./static/0074/target.jpg,./static/0074/test.jpg,500,10.9
2024-08-02 12:56:19.700,./static/0098/target.jpg,./static/0098/target.jpg,500,36.7
2024-08-02 12:56:24.662,./static/0008/target.jpg,./static/0008/target.jpg,500,36.7
2024-08-02 12:56:29.363,./static/0116/target.jpg,./static/0116/target.jpg,500,21.7
2024-08-02 12:56:35.463,./static/0130/target.jpg,./static/0130/target.jpg,500,0
2024-08-02 12:56:40.213,./static/0111/target.jpg,./static/0111/test.jpg,500,1.6
2024-08-02 12:56:44.548,./static/0107/target.jpg,./static/0107/target.jpg,500,29.4
2024-08-02 12:56:51.151,./static/0128/target.jpg,./static/0128/target.jpg,500,36.7
2024-08-02 12:56:56.145,./static/0026/target.jpg,./static/0026/target.jpg,500,21.7
