timestamp,target,chosen,showing_time,rounded_d
2024-07-30 15:17:18.211,./static/0077/target.jpg,./static/0077/target.jpg,500,29.4
2024-07-30 15:17:26.321,./static/0157/target.jpg,./static/0157/target.jpg,500,29.4
2024-07-30 15:17:31.479,./static/0086/target.jpg,./static/0086/target.jpg,500,21.7
2024-07-30 15:17:36.462,./static/0148/target.jpg,./static/0148/target.jpg,500,36.7
2024-07-30 15:17:42.879,./static/0140/target.jpg,./static/0140/test.jpg,500,0
2024-07-30 15:17:49.069,./static/0093/target.jpg,./static/0093/target.jpg,500,6.8
2024-07-30 15:17:53.651,./static/0002/target.jpg,./static/0002/target.jpg,500,3.6
2024-07-30 15:17:58.072,./static/0016/target.jpg,./static/0016/target.jpg,500,21.7
2024-07-30 15:18:02.576,./static/0006/target.jpg,./static/0006/target.jpg,500,21.7
2024-07-30 15:18:08.137,./static/0130/target.jpg,./static/0130/target.jpg,500,0
2024-07-30 15:18:13.018,./static/0001/target.jpg,./static/0001/target.jpg,500,1.6
2024-07-30 15:18:17.514,./static/0018/target.jpg,./static/0018/target.jpg,500,36.7
2024-07-30 15:18:22.120,./static/0042/target.jpg,./static/0042/test.jpg,500,3.6
2024-07-30 15:18:27.017,./static/0122/target.jpg,./static/0122/test.jpg,500,3.6
2024-07-30 15:18:31.445,./static/0061/target.jpg,./static/0061/test.jpg,500,1.6
2024-07-30 15:18:35.689,./static/0139/target.jpg,./static/0139/target.jpg,500,46.2
2024-07-30 15:18:40.296,./static/0063/target.jpg,./static/0063/target.jpg,500,6.8
2024-07-30 15:18:44.851,./static/0146/target.jpg,./static/0146/target.jpg,500,21.7
2024-07-30 15:18:49.205,./static/0166/target.jpg,./static/0166/target.jpg,500,21.7
2024-07-30 15:18:53.522,./static/0027/target.jpg,./static/0027/target.jpg,500,29.4
2024-07-30 15:18:57.852,./static/0008/target.jpg,./static/0008/target.jpg,500,36.7
2024-07-30 15:19:02.038,./static/0068/target.jpg,./static/0068/target.jpg,500,36.7
2024-07-30 15:19:06.637,./static/0163/target.jpg,./static/0163/test.jpg,500,6.8
2024-07-30 15:19:11.206,./static/0012/target.jpg,./static/0012/target.jpg,500,3.6
2024-07-30 15:19:15.331,./static/0108/target.jpg,./static/0108/target.jpg,500,36.7
2024-07-30 15:19:19.647,./static/0127/target.jpg,./static/0127/target.jpg,500,29.4
2024-07-30 15:19:24.366,./static/0032/target.jpg,./static/0032/target.jpg,500,3.6
2024-07-30 15:19:28.957,./static/0059/target.jpg,./static/0059/target.jpg,500,46.2
2024-07-30 15:19:33.249,./static/0161/target.jpg,./static/0161/test.jpg,500,1.6
2024-07-30 15:19:37.767,./static/0014/target.jpg,./static/0014/target.jpg,500,10.9
